model,config,best_threshold,precision,recall,f1,accuracy,auc
mpnet,Outcomes (Raw),0.76,0.9157,0.987,0.95,0.9481,0.9845
mpnet,Outcomes + Contents (Raw),0.8,0.9605,0.9481,0.9542,0.9545,0.9845
mpnet,Outcomes + Contents + Assessment (Raw),0.8,0.9605,0.9481,0.9542,0.9545,0.9845
mpnet,Outcomes (Lemmatized),0.7,0.875,1.0,0.9333,0.9286,0.9825
mpnet,Outcomes + Contents (Lemmatized),0.7,0.875,1.0,0.9333,0.9286,0.9825
mpnet,Outcomes + Contents + Assessment (Lemmatized),0.7,0.875,1.0,0.9333,0.9286,0.9825
stsb,Outcomes (Raw),0.89,0.9167,1.0,0.9565,0.9545,0.9958
stsb,Outcomes + Contents (Raw),0.92,0.9863,0.9351,0.96,0.961,0.9958
stsb,Outcomes + Contents + Assessment (Raw),0.92,0.9863,0.9351,0.96,0.961,0.9958
stsb,Outcomes (Lemmatized),0.89,0.9487,0.961,0.9548,0.9545,0.9885
stsb,Outcomes + Contents (Lemmatized),0.89,0.9494,0.974,0.9615,0.961,0.9907
stsb,Outcomes + Contents + Assessment (Lemmatized),0.89,0.9494,0.974,0.9615,0.961,0.9907
e5,Outcomes (Raw),0.86,0.8022,0.9481,0.869,0.8571,0.9418
e5,Outcomes + Contents (Raw),0.87,0.8523,0.974,0.9091,0.9026,0.9659
e5,Outcomes + Contents + Assessment (Raw),0.86,0.8409,0.961,0.897,0.8896,0.9448
e5,Outcomes (Lemmatized),0.87,0.8875,0.9221,0.9045,0.9026,0.9558
e5,Outcomes + Contents (Lemmatized),0.87,0.881,0.961,0.9193,0.9156,0.9713
e5,Outcomes + Contents + Assessment (Lemmatized),0.87,0.8987,0.9221,0.9103,0.9091,0.9572
labse,Outcomes (Raw),0.87,0.9625,1.0,0.9809,0.9805,0.9988
labse,Outcomes + Contents (Raw),0.88,1.0,0.961,0.9801,0.9805,0.9983
labse,Outcomes + Contents + Assessment (Raw),0.84,0.9506,1.0,0.9747,0.974,0.9968
labse,Outcomes (Lemmatized),0.86,0.9506,1.0,0.9747,0.974,0.9968
labse,Outcomes + Contents (Lemmatized),0.87,0.9625,1.0,0.9809,0.9805,0.9983
labse,Outcomes + Contents + Assessment (Lemmatized),0.86,0.9625,1.0,0.9809,0.9805,0.9971
finbert,Outcomes (Raw),0.58,0.6226,0.8571,0.7213,0.6688,0.7165
finbert,Outcomes + Contents (Raw),0.56,0.5714,0.9351,0.7094,0.6169,0.6971
finbert,Outcomes + Contents + Assessment (Raw),0.56,0.5615,0.9481,0.7053,0.6039,0.678
finbert,Outcomes (Lemmatized),0.57,0.5854,0.9351,0.72,0.6364,0.7025
finbert,Outcomes + Contents (Lemmatized),0.55,0.5515,0.974,0.7042,0.5909,0.7013
finbert,Outcomes + Contents + Assessment (Lemmatized),0.56,0.5496,0.9351,0.6923,0.5844,0.6861
