threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.6666666666666666,0.5
0.01,0.5,1.0,0.6666666666666666,0.5
0.02,0.5,1.0,0.6666666666666666,0.5
0.03,0.5,1.0,0.6666666666666666,0.5
0.04,0.5,1.0,0.6666666666666666,0.5
0.05,0.5,1.0,0.6666666666666666,0.5
0.06,0.5,1.0,0.6666666666666666,0.5
0.07,0.5,1.0,0.6666666666666666,0.5
0.08,0.5,1.0,0.6666666666666666,0.5
0.09,0.5,1.0,0.6666666666666666,0.5
0.1,0.5,1.0,0.6666666666666666,0.5
0.11,0.5,1.0,0.6666666666666666,0.5
0.12,0.5,1.0,0.6666666666666666,0.5
0.13,0.5,1.0,0.6666666666666666,0.5
0.14,0.5,1.0,0.6666666666666666,0.5
0.15,0.5,1.0,0.6666666666666666,0.5
0.16,0.5,1.0,0.6666666666666666,0.5
0.17,0.5,1.0,0.6666666666666666,0.5
0.18,0.5,1.0,0.6666666666666666,0.5
0.19,0.5,1.0,0.6666666666666666,0.5
0.2,0.5,1.0,0.6666666666666666,0.5
0.21,0.5,1.0,0.6666666666666666,0.5
0.22,0.5,1.0,0.6666666666666666,0.5
0.23,0.5,1.0,0.6666666666666666,0.5
0.24,0.5,1.0,0.6666666666666666,0.5
0.25,0.5,1.0,0.6666666666666666,0.5
0.26,0.5,1.0,0.6666666666666666,0.5
0.27,0.5,1.0,0.6666666666666666,0.5
0.28,0.5,1.0,0.6666666666666666,0.5
0.29,0.5,1.0,0.6666666666666666,0.5
0.3,0.5,1.0,0.6666666666666666,0.5
0.31,0.5,1.0,0.6666666666666666,0.5
0.32,0.5,1.0,0.6666666666666666,0.5
0.33,0.5,1.0,0.6666666666666666,0.5
0.34,0.5,1.0,0.6666666666666666,0.5
0.35,0.5,1.0,0.6666666666666666,0.5
0.36,0.5,1.0,0.6666666666666666,0.5
0.37,0.5,1.0,0.6666666666666666,0.5
0.38,0.5,1.0,0.6666666666666666,0.5
0.39,0.5,1.0,0.6666666666666666,0.5
0.4,0.5,1.0,0.6666666666666666,0.5
0.41,0.5,1.0,0.6666666666666666,0.5
0.42,0.5,1.0,0.6666666666666666,0.5
0.43,0.5,1.0,0.6666666666666666,0.5
0.44,0.5,1.0,0.6666666666666666,0.5
0.45,0.5,1.0,0.6666666666666666,0.5
0.46,0.5,1.0,0.6666666666666666,0.5
0.47,0.5,1.0,0.6666666666666666,0.5
0.48,0.5,1.0,0.6666666666666666,0.5
0.49,0.5,1.0,0.6666666666666666,0.5
0.5,0.5,1.0,0.6666666666666666,0.5
0.51,0.5,1.0,0.6666666666666666,0.5
0.52,0.5,1.0,0.6666666666666666,0.5
0.53,0.5,1.0,0.6666666666666666,0.5
0.54,0.5,1.0,0.6666666666666666,0.5
0.55,0.5,1.0,0.6666666666666666,0.5
0.56,0.5,1.0,0.6666666666666666,0.5
0.57,0.5,1.0,0.6666666666666666,0.5
0.58,0.5,1.0,0.6666666666666666,0.5
0.59,0.5,1.0,0.6666666666666666,0.5
0.6,0.5,1.0,0.6666666666666666,0.5
0.61,0.5,1.0,0.6666666666666666,0.5
0.62,0.5,1.0,0.6666666666666666,0.5
0.63,0.5,1.0,0.6666666666666666,0.5
0.64,0.5,1.0,0.6666666666666666,0.5
0.65,0.5,1.0,0.6666666666666666,0.5
0.66,0.5,1.0,0.6666666666666666,0.5
0.67,0.5,1.0,0.6666666666666666,0.5
0.68,0.5,1.0,0.6666666666666666,0.5
0.69,0.5,1.0,0.6666666666666666,0.5
0.7,0.5,1.0,0.6666666666666666,0.5
0.71,0.5,1.0,0.6666666666666666,0.5
0.72,0.5,1.0,0.6666666666666666,0.5
0.73,0.5,1.0,0.6666666666666666,0.5
0.74,0.5,1.0,0.6666666666666666,0.5
0.75,0.5,1.0,0.6666666666666666,0.5
0.76,0.5,1.0,0.6666666666666666,0.5
0.77,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.78,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.79,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.8,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.81,0.5099337748344371,1.0,0.6754385964912281,0.5194805194805194
0.82,0.5384615384615384,1.0,0.7,0.5714285714285714
0.83,0.5923076923076923,1.0,0.7439613526570048,0.6558441558441559
0.84,0.6695652173913044,1.0,0.8020833333333334,0.7532467532467533
0.85,0.7524752475247525,0.987012987012987,0.8539325842696629,0.8311688311688312
0.86,0.8260869565217391,0.987012987012987,0.8994082840236687,0.8896103896103896
0.87,0.8522727272727273,0.974025974025974,0.9090909090909091,0.9025974025974026
0.88,0.8933333333333333,0.8701298701298701,0.881578947368421,0.8831168831168831
0.89,0.9661016949152542,0.7402597402597403,0.8382352941176471,0.8571428571428571
0.9,1.0,0.5454545454545454,0.7058823529411765,0.7727272727272727
0.91,1.0,0.2077922077922078,0.34408602150537637,0.6038961038961039
0.92,1.0,0.05194805194805195,0.09876543209876543,0.525974025974026
0.93,0.0,0.0,0.0,0.5
0.94,0.0,0.0,0.0,0.5
0.95,0.0,0.0,0.0,0.5
0.96,0.0,0.0,0.0,0.5
0.97,0.0,0.0,0.0,0.5
0.98,0.0,0.0,0.0,0.5
0.99,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
