threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.6666666666666666,0.5
0.01,0.5,1.0,0.6666666666666666,0.5
0.02,0.5,1.0,0.6666666666666666,0.5
0.03,0.5,1.0,0.6666666666666666,0.5
0.04,0.5,1.0,0.6666666666666666,0.5
0.05,0.5,1.0,0.6666666666666666,0.5
0.06,0.5,1.0,0.6666666666666666,0.5
0.07,0.5,1.0,0.6666666666666666,0.5
0.08,0.5,1.0,0.6666666666666666,0.5
0.09,0.5,1.0,0.6666666666666666,0.5
0.1,0.5,1.0,0.6666666666666666,0.5
0.11,0.5,1.0,0.6666666666666666,0.5
0.12,0.5,1.0,0.6666666666666666,0.5
0.13,0.5,1.0,0.6666666666666666,0.5
0.14,0.5,1.0,0.6666666666666666,0.5
0.15,0.5,1.0,0.6666666666666666,0.5
0.16,0.5,1.0,0.6666666666666666,0.5
0.17,0.5,1.0,0.6666666666666666,0.5
0.18,0.5,1.0,0.6666666666666666,0.5
0.19,0.5,1.0,0.6666666666666666,0.5
0.2,0.5,1.0,0.6666666666666666,0.5
0.21,0.5,1.0,0.6666666666666666,0.5
0.22,0.5,1.0,0.6666666666666666,0.5
0.23,0.5,1.0,0.6666666666666666,0.5
0.24,0.5,1.0,0.6666666666666666,0.5
0.25,0.5,1.0,0.6666666666666666,0.5
0.26,0.5,1.0,0.6666666666666666,0.5
0.27,0.5,1.0,0.6666666666666666,0.5
0.28,0.5,1.0,0.6666666666666666,0.5
0.29,0.5,1.0,0.6666666666666666,0.5
0.3,0.5,1.0,0.6666666666666666,0.5
0.31,0.5,1.0,0.6666666666666666,0.5
0.32,0.5,1.0,0.6666666666666666,0.5
0.33,0.5,1.0,0.6666666666666666,0.5
0.34,0.5,1.0,0.6666666666666666,0.5
0.35,0.5,1.0,0.6666666666666666,0.5
0.36,0.5,1.0,0.6666666666666666,0.5
0.37,0.5,1.0,0.6666666666666666,0.5
0.38,0.5,1.0,0.6666666666666666,0.5
0.39,0.5,1.0,0.6666666666666666,0.5
0.4,0.5,1.0,0.6666666666666666,0.5
0.41,0.5,1.0,0.6666666666666666,0.5
0.42,0.5,1.0,0.6666666666666666,0.5
0.43,0.5,1.0,0.6666666666666666,0.5
0.44,0.5,1.0,0.6666666666666666,0.5
0.45,0.5,1.0,0.6666666666666666,0.5
0.46,0.5,1.0,0.6666666666666666,0.5
0.47,0.5,1.0,0.6666666666666666,0.5
0.48,0.5,1.0,0.6666666666666666,0.5
0.49,0.5,1.0,0.6666666666666666,0.5
0.5,0.5,1.0,0.6666666666666666,0.5
0.51,0.5,1.0,0.6666666666666666,0.5
0.52,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.53,0.5100671140939598,0.987012987012987,0.672566371681416,0.5194805194805194
0.54,0.5205479452054794,0.987012987012987,0.6816143497757847,0.538961038961039
0.55,0.5211267605633803,0.961038961038961,0.6757990867579908,0.538961038961039
0.56,0.549618320610687,0.935064935064935,0.6923076923076923,0.5844155844155844
0.57,0.5666666666666667,0.8831168831168831,0.6903553299492385,0.6038961038961039
0.58,0.5855855855855856,0.8441558441558441,0.6914893617021277,0.6233766233766234
0.59,0.5979381443298969,0.7532467532467533,0.6666666666666666,0.6233766233766234
0.6,0.6125,0.6363636363636364,0.6242038216560509,0.6168831168831169
0.61,0.639344262295082,0.5064935064935064,0.5652173913043478,0.6103896103896104
0.62,0.6521739130434783,0.38961038961038963,0.4878048780487805,0.5909090909090909
0.63,0.7428571428571429,0.33766233766233766,0.4642857142857143,0.6103896103896104
0.64,0.6785714285714286,0.24675324675324675,0.3619047619047619,0.564935064935065
0.65,0.8095238095238095,0.22077922077922077,0.3469387755102041,0.5844155844155844
0.66,0.9285714285714286,0.16883116883116883,0.2857142857142857,0.577922077922078
0.67,0.875,0.09090909090909091,0.16470588235294117,0.538961038961039
0.68,0.8333333333333334,0.06493506493506493,0.12048192771084337,0.525974025974026
0.69,1.0,0.03896103896103896,0.075,0.5194805194805194
0.7,1.0,0.03896103896103896,0.075,0.5194805194805194
0.71,1.0,0.025974025974025976,0.05063291139240506,0.512987012987013
0.72,1.0,0.025974025974025976,0.05063291139240506,0.512987012987013
0.73,1.0,0.012987012987012988,0.02564102564102564,0.5064935064935064
0.74,1.0,0.012987012987012988,0.02564102564102564,0.5064935064935064
0.75,0.0,0.0,0.0,0.5
0.76,0.0,0.0,0.0,0.5
0.77,0.0,0.0,0.0,0.5
0.78,0.0,0.0,0.0,0.5
0.79,0.0,0.0,0.0,0.5
0.8,0.0,0.0,0.0,0.5
0.81,0.0,0.0,0.0,0.5
0.82,0.0,0.0,0.0,0.5
0.83,0.0,0.0,0.0,0.5
0.84,0.0,0.0,0.0,0.5
0.85,0.0,0.0,0.0,0.5
0.86,0.0,0.0,0.0,0.5
0.87,0.0,0.0,0.0,0.5
0.88,0.0,0.0,0.0,0.5
0.89,0.0,0.0,0.0,0.5
0.9,0.0,0.0,0.0,0.5
0.91,0.0,0.0,0.0,0.5
0.92,0.0,0.0,0.0,0.5
0.93,0.0,0.0,0.0,0.5
0.94,0.0,0.0,0.0,0.5
0.95,0.0,0.0,0.0,0.5
0.96,0.0,0.0,0.0,0.5
0.97,0.0,0.0,0.0,0.5
0.98,0.0,0.0,0.0,0.5
0.99,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
