threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.6666666666666666,0.5
0.01,0.5,1.0,0.6666666666666666,0.5
0.02,0.5,1.0,0.6666666666666666,0.5
0.03,0.5,1.0,0.6666666666666666,0.5
0.04,0.5,1.0,0.6666666666666666,0.5
0.05,0.5,1.0,0.6666666666666666,0.5
0.06,0.5,1.0,0.6666666666666666,0.5
0.07,0.5,1.0,0.6666666666666666,0.5
0.08,0.5,1.0,0.6666666666666666,0.5
0.09,0.5,1.0,0.6666666666666666,0.5
0.1,0.5,1.0,0.6666666666666666,0.5
0.11,0.5,1.0,0.6666666666666666,0.5
0.12,0.5,1.0,0.6666666666666666,0.5
0.13,0.5,1.0,0.6666666666666666,0.5
0.14,0.5,1.0,0.6666666666666666,0.5
0.15,0.5,1.0,0.6666666666666666,0.5
0.16,0.5,1.0,0.6666666666666666,0.5
0.17,0.5,1.0,0.6666666666666666,0.5
0.18,0.5,1.0,0.6666666666666666,0.5
0.19,0.5,1.0,0.6666666666666666,0.5
0.2,0.5,1.0,0.6666666666666666,0.5
0.21,0.5,1.0,0.6666666666666666,0.5
0.22,0.5,1.0,0.6666666666666666,0.5
0.23,0.5,1.0,0.6666666666666666,0.5
0.24,0.5,1.0,0.6666666666666666,0.5
0.25,0.5,1.0,0.6666666666666666,0.5
0.26,0.5,1.0,0.6666666666666666,0.5
0.27,0.5,1.0,0.6666666666666666,0.5
0.28,0.5,1.0,0.6666666666666666,0.5
0.29,0.5,1.0,0.6666666666666666,0.5
0.3,0.5,1.0,0.6666666666666666,0.5
0.31,0.5,1.0,0.6666666666666666,0.5
0.32,0.5,1.0,0.6666666666666666,0.5
0.33,0.5,1.0,0.6666666666666666,0.5
0.34,0.5,1.0,0.6666666666666666,0.5
0.35,0.5,1.0,0.6666666666666666,0.5
0.36,0.5,1.0,0.6666666666666666,0.5
0.37,0.5,1.0,0.6666666666666666,0.5
0.38,0.5,1.0,0.6666666666666666,0.5
0.39,0.5,1.0,0.6666666666666666,0.5
0.4,0.5,1.0,0.6666666666666666,0.5
0.41,0.5,1.0,0.6666666666666666,0.5
0.42,0.5,1.0,0.6666666666666666,0.5
0.43,0.5,1.0,0.6666666666666666,0.5
0.44,0.5,1.0,0.6666666666666666,0.5
0.45,0.5,1.0,0.6666666666666666,0.5
0.46,0.5,1.0,0.6666666666666666,0.5
0.47,0.5,1.0,0.6666666666666666,0.5
0.48,0.5,1.0,0.6666666666666666,0.5
0.49,0.5,1.0,0.6666666666666666,0.5
0.5,0.5,1.0,0.6666666666666666,0.5
0.51,0.5,1.0,0.6666666666666666,0.5
0.52,0.5,1.0,0.6666666666666666,0.5
0.53,0.5,1.0,0.6666666666666666,0.5
0.54,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.55,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.56,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.57,0.5099337748344371,1.0,0.6754385964912281,0.5194805194805194
0.58,0.5099337748344371,1.0,0.6754385964912281,0.5194805194805194
0.59,0.5167785234899329,1.0,0.6814159292035398,0.5324675324675324
0.6,0.5238095238095238,1.0,0.6875,0.5454545454545454
0.61,0.5310344827586206,1.0,0.6936936936936937,0.5584415584415584
0.62,0.5347222222222222,1.0,0.6968325791855203,0.564935064935065
0.63,0.5384615384615384,1.0,0.7,0.5714285714285714
0.64,0.5460992907801419,1.0,0.7064220183486238,0.5844155844155844
0.65,0.5539568345323741,1.0,0.7129629629629629,0.5974025974025974
0.66,0.5579710144927537,1.0,0.7162790697674418,0.6038961038961039
0.67,0.5833333333333334,1.0,0.7368421052631579,0.6428571428571429
0.68,0.6062992125984252,1.0,0.7549019607843137,0.6753246753246753
0.69,0.6260162601626016,1.0,0.77,0.7012987012987013
0.7,0.6470588235294118,1.0,0.7857142857142857,0.7272727272727273
0.71,0.6581196581196581,1.0,0.7938144329896907,0.7402597402597403
0.72,0.6695652173913044,1.0,0.8020833333333334,0.7532467532467533
0.73,0.6936936936936937,1.0,0.8191489361702128,0.7792207792207793
0.74,0.719626168224299,1.0,0.8369565217391305,0.8051948051948052
0.75,0.7623762376237624,1.0,0.8651685393258427,0.8441558441558441
0.76,0.7777777777777778,1.0,0.875,0.8571428571428571
0.77,0.8020833333333334,1.0,0.8901734104046243,0.8766233766233766
0.78,0.8020833333333334,1.0,0.8901734104046243,0.8766233766233766
0.79,0.8369565217391305,1.0,0.9112426035502958,0.9025974025974026
0.8,0.8555555555555555,1.0,0.9221556886227545,0.9155844155844156
0.81,0.8651685393258427,1.0,0.927710843373494,0.922077922077922
0.82,0.8953488372093024,1.0,0.9447852760736196,0.9415584415584416
0.83,0.927710843373494,1.0,0.9625,0.961038961038961
0.84,0.9390243902439024,1.0,0.9685534591194969,0.9675324675324676
0.85,0.9390243902439024,1.0,0.9685534591194969,0.9675324675324676
0.86,0.9615384615384616,0.974025974025974,0.967741935483871,0.9675324675324676
0.87,0.9736842105263158,0.961038961038961,0.9673202614379085,0.9675324675324676
0.88,1.0,0.961038961038961,0.9801324503311258,0.9805194805194806
0.89,1.0,0.8831168831168831,0.9379310344827586,0.9415584415584416
0.9,1.0,0.7142857142857143,0.8333333333333334,0.8571428571428571
0.91,1.0,0.4935064935064935,0.6608695652173913,0.7467532467532467
0.92,1.0,0.24675324675324675,0.3958333333333333,0.6233766233766234
0.93,1.0,0.11688311688311688,0.20930232558139536,0.5584415584415584
