threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.6666666666666666,0.5
0.01,0.5,1.0,0.6666666666666666,0.5
0.02,0.5,1.0,0.6666666666666666,0.5
0.03,0.5,1.0,0.6666666666666666,0.5
0.04,0.5,1.0,0.6666666666666666,0.5
0.05,0.5,1.0,0.6666666666666666,0.5
0.06,0.5,1.0,0.6666666666666666,0.5
0.07,0.5,1.0,0.6666666666666666,0.5
0.08,0.5,1.0,0.6666666666666666,0.5
0.09,0.5,1.0,0.6666666666666666,0.5
0.1,0.5,1.0,0.6666666666666666,0.5
0.11,0.5,1.0,0.6666666666666666,0.5
0.12,0.5,1.0,0.6666666666666666,0.5
0.13,0.5,1.0,0.6666666666666666,0.5
0.14,0.5,1.0,0.6666666666666666,0.5
0.15,0.5,1.0,0.6666666666666666,0.5
0.16,0.5,1.0,0.6666666666666666,0.5
0.17,0.5,1.0,0.6666666666666666,0.5
0.18,0.5,1.0,0.6666666666666666,0.5
0.19,0.5,1.0,0.6666666666666666,0.5
0.2,0.5,1.0,0.6666666666666666,0.5
0.21,0.5,1.0,0.6666666666666666,0.5
0.22,0.5,1.0,0.6666666666666666,0.5
0.23,0.5,1.0,0.6666666666666666,0.5
0.24,0.5,1.0,0.6666666666666666,0.5
0.25,0.5,1.0,0.6666666666666666,0.5
0.26,0.5,1.0,0.6666666666666666,0.5
0.27,0.5,1.0,0.6666666666666666,0.5
0.28,0.5,1.0,0.6666666666666666,0.5
0.29,0.5,1.0,0.6666666666666666,0.5
0.3,0.5,1.0,0.6666666666666666,0.5
0.31,0.5,1.0,0.6666666666666666,0.5
0.32,0.5,1.0,0.6666666666666666,0.5
0.33,0.5,1.0,0.6666666666666666,0.5
0.34,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.35,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.36,0.5099337748344371,1.0,0.6754385964912281,0.5194805194805194
0.37,0.5099337748344371,1.0,0.6754385964912281,0.5194805194805194
0.38,0.5133333333333333,1.0,0.6784140969162996,0.525974025974026
0.39,0.5133333333333333,1.0,0.6784140969162996,0.525974025974026
0.4,0.5202702702702703,1.0,0.6844444444444444,0.538961038961039
0.41,0.5202702702702703,1.0,0.6844444444444444,0.538961038961039
0.42,0.5310344827586206,1.0,0.6936936936936937,0.5584415584415584
0.43,0.5384615384615384,1.0,0.7,0.5714285714285714
0.44,0.5579710144927537,1.0,0.7162790697674418,0.6038961038961039
0.45,0.5620437956204379,1.0,0.719626168224299,0.6103896103896104
0.46,0.5746268656716418,1.0,0.7298578199052133,0.6298701298701299
0.47,0.5789473684210527,1.0,0.7333333333333333,0.6363636363636364
0.48,0.5923076923076923,1.0,0.7439613526570048,0.6558441558441559
0.49,0.5968992248062015,1.0,0.7475728155339806,0.6623376623376623
0.5,0.6015625,1.0,0.751219512195122,0.6688311688311688
0.51,0.6111111111111112,1.0,0.7586206896551724,0.6818181818181818
0.52,0.616,1.0,0.7623762376237624,0.6883116883116883
0.53,0.6311475409836066,1.0,0.7738693467336684,0.7077922077922078
0.54,0.6363636363636364,1.0,0.7777777777777778,0.7142857142857143
0.55,0.652542372881356,1.0,0.7897435897435897,0.7337662337662337
0.56,0.6581196581196581,1.0,0.7938144329896907,0.7402597402597403
0.57,0.6637931034482759,1.0,0.7979274611398963,0.7467532467532467
0.58,0.6754385964912281,1.0,0.806282722513089,0.7597402597402597
0.59,0.6936936936936937,1.0,0.8191489361702128,0.7792207792207793
0.6,0.7,1.0,0.8235294117647058,0.7857142857142857
0.61,0.7333333333333333,1.0,0.8461538461538461,0.8181818181818182
0.62,0.7475728155339806,1.0,0.8555555555555555,0.8311688311688312
0.63,0.77,1.0,0.8700564971751412,0.8506493506493507
0.64,0.7857142857142857,1.0,0.88,0.8636363636363636
0.65,0.8105263157894737,1.0,0.8953488372093024,0.8831168831168831
0.66,0.8279569892473119,1.0,0.9058823529411765,0.8961038961038961
0.67,0.8369565217391305,1.0,0.9112426035502958,0.9025974025974026
0.68,0.8461538461538461,1.0,0.9166666666666666,0.9090909090909091
0.69,0.8651685393258427,1.0,0.927710843373494,0.922077922077922
0.7,0.875,1.0,0.9333333333333333,0.9285714285714286
0.71,0.872093023255814,0.974025974025974,0.9202453987730062,0.9155844155844156
0.72,0.8823529411764706,0.974025974025974,0.9259259259259259,0.922077922077922
0.73,0.9125,0.948051948051948,0.9299363057324841,0.9285714285714286
0.74,0.9125,0.948051948051948,0.9299363057324841,0.9285714285714286
0.75,0.9113924050632911,0.935064935064935,0.9230769230769231,0.922077922077922
0.76,0.9102564102564102,0.922077922077922,0.9161290322580645,0.9155844155844156
0.77,0.9066666666666666,0.8831168831168831,0.8947368421052632,0.8961038961038961
0.78,0.9571428571428572,0.8701298701298701,0.9115646258503401,0.9155844155844156
0.79,0.9701492537313433,0.8441558441558441,0.9027777777777778,0.9090909090909091
0.8,0.9846153846153847,0.8311688311688312,0.9014084507042254,0.9090909090909091
0.81,0.984375,0.8181818181818182,0.8936170212765957,0.9025974025974026
0.82,0.9841269841269841,0.8051948051948052,0.8857142857142857,0.8961038961038961
0.83,0.9814814814814815,0.6883116883116883,0.8091603053435115,0.8376623376623377
0.84,0.9811320754716981,0.6753246753246753,0.8,0.8311688311688312
0.85,1.0,0.5844155844155844,0.7377049180327869,0.7922077922077922
0.86,1.0,0.5454545454545454,0.7058823529411765,0.7727272727272727
0.87,1.0,0.4935064935064935,0.6608695652173913,0.7467532467532467
