threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.6666666666666666,0.5
0.01,0.5,1.0,0.6666666666666666,0.5
0.02,0.5,1.0,0.6666666666666666,0.5
0.03,0.5,1.0,0.6666666666666666,0.5
0.04,0.5,1.0,0.6666666666666666,0.5
0.05,0.5,1.0,0.6666666666666666,0.5
0.06,0.5,1.0,0.6666666666666666,0.5
0.07,0.5,1.0,0.6666666666666666,0.5
0.08,0.5,1.0,0.6666666666666666,0.5
0.09,0.5,1.0,0.6666666666666666,0.5
0.1,0.5,1.0,0.6666666666666666,0.5
0.11,0.5,1.0,0.6666666666666666,0.5
0.12,0.5,1.0,0.6666666666666666,0.5
0.13,0.5,1.0,0.6666666666666666,0.5
0.14,0.5,1.0,0.6666666666666666,0.5
0.15,0.5,1.0,0.6666666666666666,0.5
0.16,0.5,1.0,0.6666666666666666,0.5
0.17,0.5,1.0,0.6666666666666666,0.5
0.18,0.5,1.0,0.6666666666666666,0.5
0.19,0.5,1.0,0.6666666666666666,0.5
0.2,0.5,1.0,0.6666666666666666,0.5
0.21,0.5,1.0,0.6666666666666666,0.5
0.22,0.5,1.0,0.6666666666666666,0.5
0.23,0.5,1.0,0.6666666666666666,0.5
0.24,0.5,1.0,0.6666666666666666,0.5
0.25,0.5,1.0,0.6666666666666666,0.5
0.26,0.5,1.0,0.6666666666666666,0.5
0.27,0.5,1.0,0.6666666666666666,0.5
0.28,0.5,1.0,0.6666666666666666,0.5
0.29,0.5,1.0,0.6666666666666666,0.5
0.3,0.5,1.0,0.6666666666666666,0.5
0.31,0.5,1.0,0.6666666666666666,0.5
0.32,0.5,1.0,0.6666666666666666,0.5
0.33,0.5,1.0,0.6666666666666666,0.5
0.34,0.5,1.0,0.6666666666666666,0.5
0.35,0.5,1.0,0.6666666666666666,0.5
0.36,0.5,1.0,0.6666666666666666,0.5
0.37,0.5,1.0,0.6666666666666666,0.5
0.38,0.5,1.0,0.6666666666666666,0.5
0.39,0.5,1.0,0.6666666666666666,0.5
0.4,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.41,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.42,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.43,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.44,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.45,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.46,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.47,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.48,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.49,0.5133333333333333,1.0,0.6784140969162996,0.525974025974026
0.5,0.5133333333333333,1.0,0.6784140969162996,0.525974025974026
0.51,0.5167785234899329,1.0,0.6814159292035398,0.5324675324675324
0.52,0.5167785234899329,1.0,0.6814159292035398,0.5324675324675324
0.53,0.5238095238095238,1.0,0.6875,0.5454545454545454
0.54,0.5273972602739726,1.0,0.6905829596412556,0.551948051948052
0.55,0.5460992907801419,1.0,0.7064220183486238,0.5844155844155844
0.56,0.55,1.0,0.7096774193548387,0.5909090909090909
0.57,0.5539568345323741,1.0,0.7129629629629629,0.5974025974025974
0.58,0.5789473684210527,1.0,0.7333333333333333,0.6363636363636364
0.59,0.5877862595419847,1.0,0.7403846153846154,0.6493506493506493
0.6,0.5968992248062015,1.0,0.7475728155339806,0.6623376623376623
0.61,0.5968992248062015,1.0,0.7475728155339806,0.6623376623376623
0.62,0.6062992125984252,1.0,0.7549019607843137,0.6753246753246753
0.63,0.6209677419354839,1.0,0.7661691542288557,0.6948051948051948
0.64,0.6209677419354839,1.0,0.7661691542288557,0.6948051948051948
0.65,0.6311475409836066,1.0,0.7738693467336684,0.7077922077922078
0.66,0.6363636363636364,1.0,0.7777777777777778,0.7142857142857143
0.67,0.6470588235294118,1.0,0.7857142857142857,0.7272727272727273
0.68,0.6637931034482759,1.0,0.7979274611398963,0.7467532467532467
0.69,0.6637931034482759,1.0,0.7979274611398963,0.7467532467532467
0.7,0.6936936936936937,1.0,0.8191489361702128,0.7792207792207793
0.71,0.6936936936936937,1.0,0.8191489361702128,0.7792207792207793
0.72,0.719626168224299,1.0,0.8369565217391305,0.8051948051948052
0.73,0.7333333333333333,1.0,0.8461538461538461,0.8181818181818182
0.74,0.7475728155339806,1.0,0.8555555555555555,0.8311688311688312
0.75,0.7623762376237624,1.0,0.8651685393258427,0.8441558441558441
0.76,0.77,1.0,0.8700564971751412,0.8506493506493507
0.77,0.77,1.0,0.8700564971751412,0.8506493506493507
0.78,0.7938144329896907,1.0,0.8850574712643678,0.8701298701298701
0.79,0.8020833333333334,1.0,0.8901734104046243,0.8766233766233766
0.8,0.8105263157894737,1.0,0.8953488372093024,0.8831168831168831
0.81,0.8191489361702128,1.0,0.9005847953216374,0.8896103896103896
0.82,0.8461538461538461,1.0,0.9166666666666666,0.9090909090909091
0.83,0.8555555555555555,1.0,0.9221556886227545,0.9155844155844156
0.84,0.8636363636363636,0.987012987012987,0.9212121212121213,0.9155844155844156
0.85,0.8636363636363636,0.987012987012987,0.9212121212121213,0.9155844155844156
0.86,0.8823529411764706,0.974025974025974,0.9259259259259259,0.922077922077922
0.87,0.9036144578313253,0.974025974025974,0.9375,0.935064935064935
0.88,0.9036144578313253,0.974025974025974,0.9375,0.935064935064935
0.89,0.9487179487179487,0.961038961038961,0.9548387096774194,0.9545454545454546
