threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.6666666666666666,0.5
0.01,0.5,1.0,0.6666666666666666,0.5
0.02,0.5,1.0,0.6666666666666666,0.5
0.03,0.5,1.0,0.6666666666666666,0.5
0.04,0.5,1.0,0.6666666666666666,0.5
0.05,0.5,1.0,0.6666666666666666,0.5
0.06,0.5,1.0,0.6666666666666666,0.5
0.07,0.5,1.0,0.6666666666666666,0.5
0.08,0.5,1.0,0.6666666666666666,0.5
0.09,0.5,1.0,0.6666666666666666,0.5
0.1,0.5,1.0,0.6666666666666666,0.5
0.11,0.5,1.0,0.6666666666666666,0.5
0.12,0.5,1.0,0.6666666666666666,0.5
0.13,0.5,1.0,0.6666666666666666,0.5
0.14,0.5,1.0,0.6666666666666666,0.5
0.15,0.5,1.0,0.6666666666666666,0.5
0.16,0.5,1.0,0.6666666666666666,0.5
0.17,0.5,1.0,0.6666666666666666,0.5
0.18,0.5,1.0,0.6666666666666666,0.5
0.19,0.5,1.0,0.6666666666666666,0.5
0.2,0.5,1.0,0.6666666666666666,0.5
0.21,0.5,1.0,0.6666666666666666,0.5
0.22,0.5,1.0,0.6666666666666666,0.5
0.23,0.5,1.0,0.6666666666666666,0.5
0.24,0.5,1.0,0.6666666666666666,0.5
0.25,0.5,1.0,0.6666666666666666,0.5
0.26,0.5,1.0,0.6666666666666666,0.5
0.27,0.5,1.0,0.6666666666666666,0.5
0.28,0.5,1.0,0.6666666666666666,0.5
0.29,0.5,1.0,0.6666666666666666,0.5
0.3,0.5,1.0,0.6666666666666666,0.5
0.31,0.5,1.0,0.6666666666666666,0.5
0.32,0.5,1.0,0.6666666666666666,0.5
0.33,0.5,1.0,0.6666666666666666,0.5
0.34,0.5,1.0,0.6666666666666666,0.5
0.35,0.5,1.0,0.6666666666666666,0.5
0.36,0.5,1.0,0.6666666666666666,0.5
0.37,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.38,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.39,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.4,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.41,0.5032679738562091,1.0,0.6695652173913044,0.5064935064935064
0.42,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.43,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.44,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.45,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.46,0.506578947368421,1.0,0.6724890829694323,0.512987012987013
0.47,0.5099337748344371,1.0,0.6754385964912281,0.5194805194805194
0.48,0.5099337748344371,1.0,0.6754385964912281,0.5194805194805194
0.49,0.5099337748344371,1.0,0.6754385964912281,0.5194805194805194
0.5,0.5099337748344371,1.0,0.6754385964912281,0.5194805194805194
0.51,0.5133333333333333,1.0,0.6784140969162996,0.525974025974026
0.52,0.5167785234899329,1.0,0.6814159292035398,0.5324675324675324
0.53,0.5167785234899329,1.0,0.6814159292035398,0.5324675324675324
0.54,0.5202702702702703,1.0,0.6844444444444444,0.538961038961039
0.55,0.5238095238095238,1.0,0.6875,0.5454545454545454
0.56,0.5273972602739726,1.0,0.6905829596412556,0.551948051948052
0.57,0.5460992907801419,1.0,0.7064220183486238,0.5844155844155844
0.58,0.5620437956204379,1.0,0.719626168224299,0.6103896103896104
0.59,0.5661764705882353,1.0,0.7230046948356808,0.6168831168831169
0.6,0.5746268656716418,1.0,0.7298578199052133,0.6298701298701299
0.61,0.5877862595419847,1.0,0.7403846153846154,0.6493506493506493
0.62,0.5923076923076923,1.0,0.7439613526570048,0.6558441558441559
0.63,0.6015625,1.0,0.751219512195122,0.6688311688311688
0.64,0.6015625,1.0,0.751219512195122,0.6688311688311688
0.65,0.6209677419354839,1.0,0.7661691542288557,0.6948051948051948
0.66,0.6416666666666667,1.0,0.7817258883248731,0.7207792207792207
0.67,0.6470588235294118,1.0,0.7857142857142857,0.7272727272727273
0.68,0.6581196581196581,1.0,0.7938144329896907,0.7402597402597403
0.69,0.6754385964912281,1.0,0.806282722513089,0.7597402597402597
0.7,0.6814159292035398,1.0,0.8105263157894737,0.7662337662337663
0.71,0.7,1.0,0.8235294117647058,0.7857142857142857
0.72,0.7129629629629629,1.0,0.8324324324324325,0.7987012987012987
0.73,0.7129629629629629,1.0,0.8324324324324325,0.7987012987012987
0.74,0.7264150943396226,1.0,0.8415300546448088,0.8116883116883117
0.75,0.7333333333333333,1.0,0.8461538461538461,0.8181818181818182
0.76,0.7403846153846154,1.0,0.850828729281768,0.8246753246753247
0.77,0.7777777777777778,1.0,0.875,0.8571428571428571
0.78,0.7938144329896907,1.0,0.8850574712643678,0.8701298701298701
0.79,0.8191489361702128,1.0,0.9005847953216374,0.8896103896103896
0.8,0.8461538461538461,1.0,0.9166666666666666,0.9090909090909091
0.81,0.8461538461538461,1.0,0.9166666666666666,0.9090909090909091
0.82,0.8636363636363636,0.987012987012987,0.9212121212121213,0.9155844155844156
0.83,0.8735632183908046,0.987012987012987,0.926829268292683,0.922077922077922
0.84,0.8823529411764706,0.974025974025974,0.9259259259259259,0.922077922077922
0.85,0.8809523809523809,0.961038961038961,0.9192546583850931,0.9155844155844156
0.86,0.8860759493670886,0.9090909090909091,0.8974358974358975,0.8961038961038961
0.87,0.8974358974358975,0.9090909090909091,0.9032258064516129,0.9025974025974026
0.88,0.8961038961038961,0.8961038961038961,0.8961038961038961,0.8961038961038961
